Entity,Code,Year,poultry,beef and buffalo,sheep and goat,pig,Other,Fish and seafood,meat_total,air_passengers_2021,co2_total_2023,co2_per_capita_2023,geo_id,geo_name
Lower-middle-income countries,NAN,2022.0,6.3739057,4.2512536,1.1772876,2.593304,0.62574047,12.31142,27.33,153351400.0,4882584600.0,1.5847771,,
Luxembourg,LUX,2022.0,19.66789,30.46342,1.0805444,32.88225,1.2292432,30.840124,116.16,1081478.0,6993124.0,10.5150585,442,Luxembourg
Madagascar,MDG,2022.0,2.9478216,1.0993526,0.14593177,0.87559056,0.27240595,3.5996501,8.950000000000001,109461.4,4476379.0,0.14349261,450,Madagascar
Malawi,MWI,2022.0,7.152736,3.1845052,3.492043,16.755854,0.0,8.997963,39.58,1290.356,1752411.0,0.08303524,454,Malawi
Malaysia,MYS,2022.0,51.90197,8.71554,1.3498815,7.277622,0.00978175,51.03139,120.29,4965361.0,288823680.0,8.2224455,458,Malaysia
Mali,MLI,2022.0,2.4970608,2.6635315,0.82256114,0.05875437,1.4492745,8.636892,16.130000000000003,,6761669.0,0.2844733,466,Mali
Mauritania,MRT,2022.0,7.5866213,6.828931,12.064768,,6.2363777,7.829471,40.55,207225.0,4412598.0,0.8785841,478,Mauritania
Mexico,MEX,2022.0,38.4952,15.138339,0.8426711,21.770655,0.61465424,13.661185,90.52,54217876.0,482623460.0,3.7199361,484,Mexico
Micronesia (FAO),NAN,2022.0,37.72,8.59,0.49,17.78,0.22,57.73,122.53,,,,,
Middle Africa (FAO),NAN,2022.0,4.53,4.73,2.35,2.67,02.01,8.35,24.64,,,,,
Moldova,MDA,2022.0,22.74083,1.0216497,0.0091218725,11.402341,0.25541243,14.75919,50.19,528581.0,5962224.0,1.9439814,498,Moldova
Mongolia,MNG,2022.0,7.1259995,30.31059,68.70065,2.7299604,23.395359,1.0438083,133.31,61614.0,46869964.0,13.657199,496,Mongolia
Montenegro,MNE,2022.0,19.610184,14.294416,1.7141055,54.555492,0.05101505,12.284423,102.5,1589.285,2328379.0,3.6754034,499,Montenegro
Morocco,MAR,2022.0,17.520317,7.0241823,5.1978946,0.02006909,1.8162527,16.878105,48.46,4740714.0,68667610.0,1.82082,504,Morocco
Mozambique,MOZ,2022.0,5.946513,0.7168123,0.12115137,4.3715453,0.010095947,13.25598,24.43,411739.0,8023384.0,0.23854187,508,Mozambique
Myanmar,MMR,2022.0,12.185037,2.6809096,0.22172937,5.150169,0.0,40.62687,60.870000000000005,1132655.8,30233224.0,0.5584913,104,Myanmar
Namibia,NAM,2022.0,8.403826,4.6549735,3.437929,4.148612,4.148612,9.914027,34.7,2245.772,4174205.8,1.408754,516,Namibia
Nepal,NPL,2022.0,6.9184775,6.538116,2.590574,1.2130466,0.0,3.4438186,20.700000000000003,2550505.0,16677210.0,0.56162494,524,Nepal
Net Food Importing Developing Countries (FAO),NAN,2022.0,7.91,5.23,2.12,1.72,0.95,10.98,28.91,,,,,
Netherlands,NLD,2022.0,13.518045,16.411966,0.9515606,30.498987,2.4622855,19.286268,83.13,19349166.0,118668370.0,6.558991,528,Netherlands
New Caledonia,NCL,2022.0,36.93367,21.774403,1.3432262,22.107685,1.2119334,22.976236,106.34,,5067623.0,17.48445,540,New Caledonia
New Zealand,NZL,2022.0,26.049322,21.583145,13.095391,24.483128,2.303819,24.80647,112.32,8729635.0,30119236.0,5.8226275,554,New Zealand
Nicaragua,NIC,2022.0,24.466825,2.715095,0.010323554,6.0805736,0.278736,6.576104,40.14,,5588379.0,0.8189818,558,Nicaragua
Niger,NER,2022.0,0.8904446,2.5781476,1.9051372,0.062124036,2.4228375,1.9258453,9.79,15019.2,2597634.0,0.09929863,562,Niger
Nigeria,NGA,2022.0,1.596329,1.4886012,1.9097188,1.664883,0.8030612,7.0512686,14.51,4486313.5,128539720.0,0.5640604,566,Nigeria
North America,NAN,2022.0,45.622643,27.568048,0.7163158,24.355585,0.6901094,18.021782,116.98,,6123549700.0,10.12815,,
North Macedonia,MKD,2022.0,20.490067,9.841147,0.910164,16.473967,0.42095083,7.9753118,56.11,,7448824.0,4.0665092,807,Macedonia
Northern Africa (FAO),NAN,2022.0,15.91,6.28,04.08,0.01,1.37,13.41,41.06,,,,,
Northern America (FAO),NAN,2022.0,52.28,36.73,0.74,29.1,0.77,22.08,141.7,,,,,
Northern Europe (FAO),NAN,2022.0,30.55,17.77,3.3,27.73,01.02,22.57,102.94,,,,,
